animal	group	wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_IL4	wk12_LN_CD3p_CD4_CD95pCD28nTEM	wk12_LN_CD3p_CD4p_MFI_BCL2_UNS	wk12_LN_CD3p_CD4p_notToxpIRF4p_MFI_BCL2	wk12_LN_CD3p_CD4p_TCM_IRF4nTCF1nTOXp	wk12_LN_CD3p_CD4p_TCM_MFI_BCL2_UNS	wk12_LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	wk12_LN_CD3p_CD8p_KI67p_UNS	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	wk12_LN_CD3p_CD8p_TCM_SLAMF6p_UNS	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	wk12_LN_CD3p_CD8p_TOXpIRF4p_MFI_KI67	wk12_MIP3b	wk12_PBMC_CD3p_CD4p_TCM_IRF4pTCF1nTOXn	wk12_PBMC_CD3p_CD4p_TCM_MFI_BCL2_GAG	wk12_PBMC_CD3p_CD4p_TCM_MFI_BCL2_UNS	wk12_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	wk12_PBMC_CD3p_CD8p_KI67p	wk12_PBMC_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_BCL2	wk12_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBpTBETp_MFI_BCL2	wk12_PBMC_CD3p_CD8p_TCF1nCD101n_MFI_KI67	wk21_LN_CD3p_CD4_CD95pCD28nTEM	wk21_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101	wk21_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TCF1	wk21_LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXp	wk21_LN_CD3p_CD4p_TNFAp_GAG	wk21_LN_CD3p_CD4p_TOXpIRF4p_MFI_CD101	wk21_LN_CD3p_CD8p_Naive	wk21_LN_CD3p_CD8p_TCF1nCD101p_MFI_ID2	wk21_LN_CD3p_CD8p_TCF1nCD101p_MFI_IRF4	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_CD101	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_ID2	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_IRF4	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_BCL2	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_KI67	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67	wk21_LN_CD3p_CD8p_TCFn_TBEThi_CX3CR1pGRZBp_MFI_ID2	wk21_PBMC_CD3p_CD4p_TEM_TOXpIRF4p_MFI_CX3CR1	wk21_PBMC_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67	wk21_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBnTBETn	wk36_LN_CD3p_CD4p_IFNGp_GAG_UNS	wk36_LN_CD3p_CD4p_IL2p_GAG_UNS	wk36_LN_CD3p_CD4p_KI67p	wk36_LN_CD3p_CD4p_Naive_notToxpIRF4p_MFI_CD101	wk36_LN_CD3p_CD4p_TCF1p_GRZBp_MFI_GRZB	wk36_LN_CD3p_CD4p_TCM_IFNGp_GAG	wk36_LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS	wk36_LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_CD101	wk36_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101	wk36_LN_CD3p_CD4p_TEM	wk36_LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXn	wk36_LN_CD3p_CD4p_TEM_IRF4pTCF1pTOXn	wk36_LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	wk36_LN_CD3p_CD4p_TEM_notToxpIRF4p_MFI_CD101	wk36_LN_CD3p_CD4p_TEM_TCF1n	wk36_LN_CD3p_CD4p_TEM_TCF1p	wk36_LN_CD3p_CD4p_TNFAp_GAG_UNS	wk36_LN_CD3p_CD8p_CD25p	wk36_LN_CD3p_CD8p_CX3CR1p_GAG_UNS	wk36_LN_CD3p_CD8p_IFNGp_GAG_UNS	wk36_LN_CD3p_CD8p_IRF4nTCF1nTOXn	wk36_LN_CD3p_CD8p_IRF4nTCF1nTOXp	wk36_LN_CD3p_CD8p_IRF4nTCF1pTOXn	wk36_LN_CD3p_CD8p_KI67p	wk36_LN_CD3p_CD8p_MFI_TCF1_UNS	wk36_LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXn	wk36_LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXp	wk36_LN_CD3p_CD8p_Naive_notToxpIRF4p_MFI_CD101	wk36_LN_CD3p_CD8p_Naive_TCF1n	wk36_LN_CD3p_CD8p_Naive_TCF1p	wk36_LN_CD3p_CD8p_notToxpIRF4p_MFI_TCF1	wk36_LN_CD3p_CD8p_TCF1pCD101n	wk36_LN_CD3p_CD8p_TCF1nCD101n	wk36_LN_CD3p_CD8p_TCF1n	wk36_LN_CD3p_CD8p_TCF1p	wk36_LN_CD3p_CD8p_TCFn	wk36_LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS	wk36_LN_CD3p_CD8p_TCM_IFNGp_GAG	wk36_LN_CD3p_CD8p_TEM_CX3CR1p_GAG	wk36_LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS	wk36_LN_CD3p_CD8p_TEM_IRF4nTCF1nTOXp	wk36_PBMC_CD3p_CD4p_CD39p_GAG_UNS	wk36_PBMC_CD3p_CD4p_CD39p_UNS	wk36_PBMC_CD3p_CD4p_CD69p_GAG_UNS	wk36_PBMC_CD3p_CD4p_KI67p_GAG_UNS	wk36_PBMC_CD3p_CD4p_Naive_KI67p_UNS	wk36_PBMC_CD3p_CD4p_Naive_TNFAp_GAG	wk36_PBMC_CD3p_CD4p_TCM_CD39p_GAG	wk36_PBMC_CD3p_CD4p_TCM_CD69p_GAG_UNS	wk36_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_TBET	wk36_PBMC_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TBET	wk36_PBMC_CD3p_CD4p_TEM_ID2p_GAG	wk36_PBMC_CD3p_CD8p_IFNGp_GAG_UNS	wk36_PBMC_CD3p_CD8p_Naive_TNFAp_GAG_UNS	wk36_PBMC_CD3p_CD8p_TCF1pCD101p_MFI_BCL2	wk36_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBnTBETn_MFI_BCL2	wk36_PBMC_CD3p_CD8p_TBETp_GAG_UNS	wk36_PBMC_CD3p_CD8p_TCM_CD69p_UNS	wk36_PBMC_CD3p_CD8p_TCM_notToxpIRF4p_MFI_TBET	wk36_PBMC_CD3p_CD8p_TCM_TOXpIRF4p_MFI_TBET	wk36_PBMC_CD3p_CD8p_TNFAp_GAG_UNS
RKq17	aIL10+aPD1	1.523903428	0.137920451	0.51	1652	1596	4.48	1738	1745	6.16	5.39	7.37	13.7	3.33	14.8	155	152.4065992	3.91	2052	2002	1979	4.12	2457	2262	161	0.27	945	6616	14.2	0.3	448	53.9	658	525	2189	673	549	1581	240	60.4	317	-31.8	467	85	1.148148148	0.634615385	2.44	42.4	1076	1.15	1.61971831	229	886	0.14	28.8	7.36	2761	168	50	50	2.068965517	4.48	0.795497186	1.188888889	4.2	1.58	67	3.83	7939	2.38	0.74	44.9	3.35	96.6	7869	86.7	8.91	6.61	93.4	10.5	0.803767661	3.62	60.8	0.832876712	5.96	0.480555556	10.8	1.079051383	1.099750623	2.37	0.14	5.32	0.886178862	364	493	34.9	1.950704225	21.85185185	2728	2619	1.246575342	6.58	187	305	5.25
RNy16	aIL10+aPD1	2.058080209	0.163453426	0.53	1979	1964	4.94	2111	2082	7.91	5.35	8.44	9.59	3.36	8.55	131	125.4866535	2.26	2341	2854	2905	3.29	NA	1863	107	0.56	2377	6253	7.43	0.2	2080	25.9	298	133	3352	318	133	2691	107	60.4	183	47.8	339	72.6	4.08974359	4.508196721	4.2	134	1297	5.27	3.609589041	305	1186	0.32	26.7	4.53	3058	125	57.1	42.9	15.78947368	4.17	0.957555178	3.40201005	17.7	10.3	46.1	5.01	8543	5.54	2.38	143	8.22	91.8	8153	56.1	27.7	30.1	69.9	33.9	0.953871499	7.69	74.7	0.96761658	19.3	1.523255814	2.58	1.626373626	0.9765625	1.22	0.037	2.72	1.065868263	233	239	47.2	0.770700637	5.222222222	2013	2164	0.978723404	3.08	74.4	87.3	5.523809524
RRh17	aIL10+aPD1	3.103254104	0.145832752	0.96	1421	1396	5.25	1998	1918	6.86	17	23.8	10.4	8.91	7.05	147	62.5421344	4.15	1849	1738	1774	1.83	532	1991	134	0.93	1315	8562	12	0.22	986	32.5	343	191	2319	409	225	1101	144	78.4	248	24.8	295	67.9	0.516129032	0.857142857	2.65	120	988	0.67	0.62037037	344	1825	0.058	24.1	7.57	1942	293	44.1	55.9	2.641509434	5.31	1.168202765	1.045045045	7.66	3.29	56.5	5.61	10271	3.47	1.04	117	4.72	95.3	10179	71.8	12.8	12.4	87.6	16.5	1.108559499	1.79	68.2	1.132890365	7.8	1.052631579	2.47	0.977272727	0.936986301	1.87	0.066	5.13	0.946808511	264	352	38.7	0.57	5.555555556	2583	2500	0.621262458	1.57	134	128	1.125
RWs17	aIL10+aPD1	2.935686751	0.163898872	0.36	1649	1626	3.17	1825	1821	3.67	7.28	6.23	4.15	3.06	12.2	127	102.8050432	4.49	2476	2681	2702	2.4	2951	3286	78.4	0.24	2060	5912	6.75	0.31	1670	42.7	278	202	2214	298	194	1265	185	62.9	377	60.1	103	59.7	1.75308642	1.973684211	4.02	151	1104	2.92	2.056338028	332	438	0.1	32.3	5.67	3739	136	46.7	53.3	0.481481481	7.79	1.087360595	2.908045977	16.3	4.93	56.3	7.08	10202	7.73	1.88	117	9.71	90.3	9513	63.4	24.6	22.4	77.6	29.5	1.072368421	3.41	76.8	1.044897959	11.7	0.666666667	6.18	1.076388889	0.7671875	2.54	0	7.34	0.962121212	483	563	68.5	1.207373272	0	3641	3878	1.115384615	5.18	223	267	2.75
RYm17	aIL10+aPD1	1.921188209	0.179404008	0.47	1788	1717	5.57	1777	1632	13.3	8.67	7.5	18.1	3.24	10.4	204	122.8165705	7.29	1498	1591	1492	2.83	1082	2524	111	0.37	1722	9197	16	0.25	1147	27.2	348	275	1860	347	273	1361	286	120	240	28.6	281	82	4.831325301	1	1.24	242	810	5.09	4.669724771	1134	3393	0.12	36.6	8.01	2888	468	55.3	44.7	3.114754098	5.78	1.014925373	3.571428571	23.4	7.98	41.2	3.54	6851	15.4	2.53	83.5	18.2	81.8	6432	46.9	30.9	33	67	39.4	1	5.62	73.3	0.958169935	15.3	1.359550562	3.56	1.319148936	1.073139975	2.61	0.21	4.35	1.38034188	325	348	42.6	3.241525424	20.27777778	2665	2500	1.554770318	3.37	149	160	7.975609756
34918	aIL10+aPD1	6.120032183	0.161467935	0.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68.53750059	5.38	2686	2676	2624	1.6	2198	4407	96.4	0.72	153	7957	12.2	0.18	112	40.9	360	333	1119	360	339	842	275	91.2	212	9.46	160	76.8	6.685185185	7.988095238	6.2	28.2	840	5.31	5.53125	27	129	0.21	35.6	6.44	1642	39.8	65	35	6.947368421	7.27	1.003527337	7.984496124	13.9	7.28	49.1	10.4	8411	4.63	1.67	18	6.48	93.5	8045	66.7	23.7	24.3	75.7	28.3	1.003407155	12.3	75.8	1.035519126	17.7	0.676630435	3.68	1.044843049	0.810671256	2.66	0.3	3.21	1.130584192	407	418	27.7	1.059633028	1.304347826	2266	2193	1.068047337	6.11	219	195	1.090909091
RBf17	aIL10+aPD1	2.192974089	0.149688134	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.34185886	5.36	2364	2480	2457	2.52	2514	4334	123	0.83	1942	7714	5.61	0.23	1764	43.7	410	255	2728	461	252	1608	112	79.6	244	-40.6	407	65.6	4.565217391	3.872727273	2.85	0	742	3.66	7.956521739	65.5	287	0.27	28.4	7.16	1917	28.2	50	50	4.852941176	8.17	1.191256831	7.132352941	10.7	3.01	62.4	6.41	9996	3.72	0.98	8.98	4.8	95.2	9664	77.5	14.7	14.7	85.3	17.3	1.186594203	5.52	78.5	1.078296703	11	1.167019027	4.73	1.330232558	1.698602794	2.62	0.23	6.26	1.118811881	464	477	39.6	2.787234043	8.818181818	2946	2992	1.342639594	4.8	192	209	6.6
RBv17	aIL10+aPD1	3.375811793	0.216074762	0.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90.07438567	3.12	2193	2283	2275	3	1032	2963	143	0.45	2144	8135	9.32	0.22	1751	50.8	383	246	3227	663	340	996	207	57.8	215	87.8	237	49.1	2	4.285714286	1.34	62.9	868	2.88	1.858064516	291	1735	0.092	22.5	12.5	1764	146	42.9	57.1	5.789473684	4.28	0.924731183	3.722891566	6.57	2.25	66.7	1.88	10920	2.02	0.42	51.4	2.49	97.5	10821	81.2	9.12	9.9	90.1	12	1.054263566	5.54	72.5	1.0804769	8.34	0.488215488	2.97	1.63125	0.805620609	2.77	0.15	2.03	1.674329502	332	339	72	1.376344086	3.384615385	2377	2332	1.26984127	4.04	156	151	2.789473684
RBe17	Control	6.736581168	0.142442046	1.58	2198	2168	4.02	2355	2328	4.27	3.15	3.44	4.98	1.33	4.86	120	44.13658763	2.95	2328	2951	2951	2.32	1998	2744	96.4	0.97	1518	9280	17.2	0.13	1059	20.8	191	108	1459	226	104	589	344	171	146	121	222	70.2	1.032258065	0.821428571	3.23	70.6	772	0.69	1.131147541	155	427	0.22	33	4.02	1767	46.2	52.6	47.4	0.975609756	7.5	1.084645669	1.239130435	30.5	10.1	38.2	10.7	6253	14.3	3.01	60.4	17.4	82.6	4662	46	43	42.2	57.8	48	1.134615385	1.85	63.5	0.993740219	14.6	0.611594203	13.8	0.778350515	0.76899696	3.42	0.073	8.7	0.745283019	430	547	9.11	1.070175439	5.357142857	3393	3305	0.98490566	8.06	211	303	1.304347826
REq17	Control	4.051220007	0.120167367	0.48	1935	1928	3.03	1987	2011	4.71	7.24	5.98	6.31	2.26	9.87	96.4	51.89082444	1.66	2793	2665	2665	1.46	2292	3641	68.1	0.7	1159	10179	20.4	0.16	681	38.5	199	133	1190	192	117	742	245	133	191	90.9	86.1	56.5	1.933333333	1.461538462	3.72	12.8	879	1.52	1.974025974	194	564	0.22	23.8	8.25	2193	75.8	50.7	49.3	2.528735632	17.5	0.833898305	1.630252101	12.4	6.04	50.1	7.3	7731	6.01	1.76	-2.57	8.04	92	7496	65.4	20.9	21	79	26.6	0.824590164	2.63	66.6	0.9	15.8	0.514285714	5.95	0.726027397	0.520887728	4.1	0.059	6.1	0.637433155	450	622	22.9	0.511247444	2.558139535	3708	3101	0.975550122	12.8	334	419	0.857142857
REu17	Control	6.799717843	0.193001367	0.5	2355	2273	3.43	2447	2410	4.09	1.64	3.26	6.31	0.99	3.14	107	44.65140663	0.96	2963	2529	2500	0.86	5824	4976	69.4	0.85	1089	9951	15.9	0.14	950	30.1	213	105	1225	240	107	439	399	80.9	175	112	86.1	56.2	0.639097744	0.285714286	5.05	107	760	1.87	0.894736842	250	1453	0.17	30.3	8.24	2854	175	58.4	41.6	1.5	4.52	1	0.351791531	9.13	5.02	45.6	4.8	9795	5.04	2.47	97.7	8.27	91.7	9729	71.3	16.6	17.5	82.5	20.6	0.975124378	2.4	72	0.924261874	12.5	0.841346154	4.16	0.923076923	1.081349206	2.15	0.031	7.07	0.752688172	435	489	18.3	1.408071749	4.230769231	3339	3539	1.246031746	11.2	215	214	7.25
RMl17	Control	6.553046294	0.110462946	1	1744	1723	3.87	2040	2067	5.6	5.25	7.47	5.93	3	5.32	107	66.61095037	1.13	2103	2655	2676	1.51	2793	3525	117	0.99	1994	10087	10.8	0.1	1588	22.8	185	59.1	1670	220	65.5	506	271	136	144	50.7	269	68.6	1.052631579	1.229166667	2.26	125	858	1.06	1.092783505	366	1453	0.22	25.5	6.52	2323	148	43.4	56.6	2.631578947	5.75	0.936734694	2.413333333	16.6	5.24	51.9	5.38	9513	5.73	1.35	151	7.17	92.8	9095	57.9	21.2	23.1	76.9	27.4	0.947807933	2.38	62.8	0.942942943	10.2	0.639143731	6.54	1.494252874	0.710588235	2.77	0.051	7.68	1.28042328	326	541	34.4	1.488687783	2.045454545	2951	3004	0.935860058	9	199	295	2.024390244
RTd17	Control	7.548153804	0.135532174	0.95	2181	2168	3.87	2355	2380	6.67	5.78	6.78	7.4	2.27	2.82	127	88.68007375	2.38	2578	3273	3266	1.88	7064	5568	83.5	3.73	426	13114	18.3	0.13	240	7.57	194	84.8	1239	226	103	457	405	186	158	154	242	56.6	0.376811594	0.562162162	4.87	60.4	753	0.42	0.371681416	194	473	0.54	29.7	4.01	1699	59.1	66.8	33.2	0.493333333	6.09	0.737190083	0.714285714	31.5	12.7	29.3	8.35	4997	16.1	4.03	88.7	21	79	3227	38.1	48.9	47.7	52.3	55.5	0.778611632	1.61	48.6	0.728635682	16	0.75234375	12.8	0.767326733	0.706684857	2.27	0.061	10	0.894366197	435	863	10.6	0.794429708	0	5568	5486	0.955165692	13.5	290	627	0.897435897
RVz16	Control	2.05748666	0.125891825	0.92	2040	2004	4	2091	2067	6.02	5.5	6.02	7.84	2.02	5.53	140	67.91807249	3.94	2400	3095	3028	2.25	1758	2396	96.4	0.74	1484	9929	13.5	0.13	892	34	317	255	1895	329	255	967	290	-19.3	208	40.6	131	65.4	0.833333333	1.705882353	1.82	139	1084	0.54	1	421	1791	0.14	28.8	6.47	2025	224	42.7	57.3	4.2	3.77	1.01754386	2.787878788	9.84	2.32	66.6	2.36	9555	5.42	0.84	136	6.35	93.6	9406	74.4	12.9	12.7	87.3	15.4	1.032332564	1.68	57.4	0.912559618	8.29	1.667820069	2.89	1.547445255	1.02852349	2.53	0.08	5.86	1.676767677	323	377	34.9	2.440559441	7.014925373	3151	3089	1.069565217	3.79	183	220	9.036144578
RZg17	Control	4.267463613	0.144060142	1.64	2168	2136	2.2	2140	2140	4.33	2.32	2.4	4.59	0.77	7.92	103	54.64757724	1.74	3034	2987	2987	1.85	4791	3739	91.2	1.44	950	8467	9.93	0.1	600	18.5	333	228	1636	433	246	1260	263	135	255	11.9	99	59.6	1.053763441	1.282608696	4.78	83.5	786	1.62	1.08	215	929	0.37	31.8	8.28	2080	69.4	50.8	49.2	1.5	4.85	0.975409836	1.476744186	10.5	4.09	49.1	5.85	8600	9.04	2.73	46.2	12.2	87.8	8336	70.7	16.7	16.2	83.8	20.3	0.968627451	3.16	57.2	0.974446337	9.29	0.354545455	14.3	1.030927835	1.208928571	2.25	0.085	5.2	0.945631068	436	478	15.5	1.833333333	NA	4185	4343	1.279411765	9.58	203	232	4.947368421
RVi17	Control	7.314670931	0.132963109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52.70791515	3.38	3151	3663	3641	2.56	4202	4841	69.4	2.21	769	12438	17.8	0.17	461	17.3	221	161	1667	234	147	847	437	164	177	297	105	55.5	0.833333333	0.785714286	6.64	21.8	750	0.96	1.021276596	118	290	0.61	35.4	5.52	1758	113	57.8	42.2	1.230769231	18.8	0.779385172	0.915841584	8.47	5.62	48.2	9.55	8562	3.97	1.3	20.5	5.41	94.6	8299	66.6	14.8	17.3	82.7	22.1	0.782758621	2.23	51.4	0.826366559	11.6	0.442748092	13.1	1.037414966	0.702068966	3.13	0.035	10.3	0.578222778	657	767	18.2	1.161643836	3.396226415	5486	5347	1.098976109	10.3	287	374	1.476190476
